what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1293631614505
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1293631614506
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1293631614506
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1293631614506
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1293631614506
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1293631614507
os,sysinfo,,,"macosx",1293631614512
arch,sysinfo,,,"x86",1293631614512
ws,sysinfo,,,"cocoa",1293631614512
locale,sysinfo,,,"en_US",1293631614512
processors,sysinfo,,,"2",1293631614512
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1293631614512
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3261",1293631614512
java.specification.name,sysinfo,,,"Java Platform API Specification",1293631614512
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293631614512
java.specification.version,sysinfo,,,"1.6",1293631614512
java.vendor,sysinfo,,,"Apple Inc.",1293631614512
java.version,sysinfo,,,"1.6.0_22",1293631614512
java.vm.info,sysinfo,,,"mixed mode",1293631614512
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1293631614512
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1293631614512
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293631614512
java.vm.specification.version,sysinfo,,,"1.0",1293631614512
java.vm.vendor,sysinfo,,,"Apple Inc.",1293631614512
java.vm.version,sysinfo,,,"17.1-b03-307",1293631614512
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1293631614522
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1293631614541
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1293631614595
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1293631614667
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1293631614697
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1293631614718
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1293631614738
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1293631614752
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1293631614808
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1293631614812
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293631619324
started,bundle,com.android.ide.eclipse.ddms,8.0.1.v201012062107-82219,"com.android.ide.eclipse.ddms",1293631620834
started,bundle,com.android.ide.eclipse.adt,8.0.1.v201012062107-82219,"com.android.ide.eclipse.adt",1293631620929
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1293631621096
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1293631621097
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293631673456
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293631675606
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293631676805
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293631686175
started,bundle,org.eclipse.tm.terminal.view,2.1.0.v201006041240,"org.eclipse.tm.terminal.view",1293631687402
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1293631687842
